epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,4687.08,1.33674,0.98882,0.00742,0.74504,0.5973,0.66065,0.43652,1.14994,0.72137,0.00746,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,4757.59,1.33759,0.99702,0.0074,0.73935,0.60563,0.66373,0.43735,1.14882,0.72183,0.00741,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,4828.49,1.3531,1.00659,0.00742,0.76743,0.59529,0.66571,0.44115,1.14577,0.71801,0.00739,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,4899.05,1.33072,0.98402,0.00731,0.76477,0.60558,0.67215,0.44723,1.1402,0.70787,0.00733,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,4969.73,1.33664,0.995,0.00733,0.74567,0.60962,0.67129,0.44625,1.13748,0.70451,0.00727,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,5040.91,1.32861,0.97829,0.00731,0.75734,0.61564,0.67834,0.45019,1.13341,0.70002,0.00723,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,5111.91,1.33443,0.97421,0.00734,0.7727,0.60942,0.68111,0.45124,1.13319,0.69351,0.00723,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,5183.07,1.33644,0.98848,0.00736,0.76479,0.61352,0.68368,0.45543,1.12989,0.69191,0.0072,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,5254.49,1.33496,0.99045,0.00729,0.77379,0.61257,0.68209,0.4573,1.12865,0.69304,0.00717,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,5325.78,1.32409,0.96795,0.00726,0.75717,0.62345,0.68441,0.45933,1.12692,0.69136,0.00715,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,5397.05,1.32994,0.97439,0.00731,0.76322,0.62133,0.68486,0.45842,1.12473,0.68911,0.00714,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,5467.8,1.32852,0.98044,0.00732,0.78494,0.61352,0.68499,0.45986,1.12236,0.68658,0.0071,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,5538.39,1.32119,0.95978,0.00728,0.77963,0.62261,0.69035,0.46266,1.11935,0.68156,0.00706,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,5609.28,1.31494,0.9649,0.00727,0.7701,0.62685,0.69247,0.46463,1.11812,0.68053,0.00704,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,5680.66,1.32157,0.96869,0.00718,0.77095,0.62732,0.69192,0.46537,1.11701,0.67693,0.00702,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,5751.5,1.31035,0.95334,0.0072,0.77119,0.62661,0.69409,0.46803,1.11521,0.67254,0.00701,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,5822.32,1.31481,0.95525,0.00723,0.78533,0.63124,0.69849,0.47003,1.1139,0.6693,0.007,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,5894.07,1.3183,0.96016,0.00722,0.78533,0.63195,0.69728,0.47131,1.11267,0.66871,0.00696,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,5964.35,1.31005,0.93744,0.0072,0.77665,0.635,0.69846,0.4736,1.10913,0.66615,0.00693,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,6035.28,1.31285,0.9498,0.00718,0.78114,0.63536,0.69967,0.47512,1.10775,0.66186,0.00694,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,6105.79,1.31212,0.94756,0.00705,0.78362,0.63434,0.69906,0.47556,1.10614,0.65956,0.0069,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,6176.97,1.31518,0.94648,0.00709,0.78785,0.6351,0.70263,0.4771,1.10509,0.6555,0.00688,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,6247.55,1.30876,0.9418,0.00714,0.79528,0.63014,0.70302,0.47769,1.10422,0.65433,0.00686,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,6318.29,1.31577,0.94477,0.00713,0.79344,0.63034,0.70443,0.47921,1.10067,0.65289,0.00682,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,6389.07,1.3089,0.93398,0.0071,0.77078,0.64407,0.70599,0.48044,1.09806,0.64924,0.00679,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,6460.16,1.30027,0.92716,0.00701,0.77711,0.64065,0.70655,0.48151,1.09516,0.64757,0.00675,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
